year,country,economic_freedom,quartile,property_rights,foreign_currency,sound_money,control_movement,trade,credit_market_reg,regulation,suicides_no,population,percentage_suicides
2006,Barbados,6.1,4.0,6.474540167000001,0.0,6.224952363,5.817251001,6.745082181,8.570267277000001,7.119459609,9.0,42772.0,0.021041803048723464
2007,Barbados,6.12,4.0,7.190944257999999,0.0,6.33063352,5.878857967999999,6.849886999,8.55270649,7.095897221,0.0,43042.0,0.0
2008,Barbados,6.22,3.0,7.056191275,0.0,6.048770234,5.213549774,6.628622821,8.516772576000001,7.08865349,1.0,43278.0,0.002310642820832756
2009,Barbados,6.56,3.0,7.059078628,0.0,6.659094454,5.143123538,6.624043199,8.533284007,7.385792085,5.0,43400.0,0.01152073732718894
2010,Barbados,6.63,3.0,7.289327127999999,0.0,6.5784308010000005,5.616206545,6.800927055,6.161334062999999,6.523428247000001,3.0,43369.0,0.00691738338444511
2011,Barbados,6.63,3.0,6.234476127000001,0.0,6.405610502999999,5.770507215,7.577420012,6.161334062999999,6.846717472999999,0.0,43221.0,0.0
2012,Barbados,6.67,3.0,6.075425438,0.0,6.526808905,5.714609314,7.338430643,7.377000000000001,7.178365832000001,0.0,42921.0,0.0
2013,Barbados,6.68,3.0,6.020520935,0.0,6.954955335,5.40457108,7.590740887000001,6.0,6.539793921,0.0,42518.0,0.0
1985,Belarus,6.395217391304348,3.0,5.716589888304348,0.8695652173913043,6.21820680026087,4.694181416478261,7.104829146130435,5.862730747434782,6.499111555391305,2302.0,1269300.0,0.18135980461671788
1990,Belarus,6.386521739130434,3.0,5.706556595130436,1.0869565217391304,6.171605219826088,4.513940559347827,7.1085612459130445,5.7568301010434775,6.492697517739131,2085.0,1284200.0,0.1623578881794113
1995,Belarus,6.377826086956522,3.0,5.696523301956522,1.3043478260869565,6.125003639391305,4.333699702217391,7.112293345695653,5.650929454652173,6.486283480086957,3203.0,1360000.0,0.23551470588235293
2000,Belarus,6.369130434782608,3.0,5.686490008782609,1.5217391304347825,6.078402058956522,4.1534588450869565,7.116025445478262,5.545028808260869,6.479869442434783,3483.0,1497056.0,0.23265662740739157
2001,Belarus,6.360434782608696,3.0,5.676456715608696,1.7391304347826086,6.031800478521739,3.973217987956522,7.11975754526087,5.439128161869565,6.473455404782609,3303.0,1522267.0,0.21697901879236692
2002,Belarus,6.351739130434782,3.0,5.666423422434783,1.9565217391304348,5.985198898086957,3.7929771308260873,7.123489645043479,5.33322751547826,6.467041367130435,3291.0,1533648.0,0.21458639792181777
2003,Belarus,6.34304347826087,3.0,5.65639012926087,2.1739130434782608,5.9385973176521745,3.6127362736956523,7.1272217448260875,5.227326869086956,6.460627329478261,3456.0,1536542.0,0.22492063347438598
2004,Belarus,6.334347826086956,3.0,5.646356836086957,2.391304347826087,5.891995737217392,3.4324954165652173,7.130953844608697,5.121426222695652,6.454213291826087,1136.4324324324325,1531907.0,0.07418416603830602
2005,Belarus,6.325652173913044,3.0,5.636323542913043,2.608695652173913,5.845394156782609,3.2522545594347827,7.134685944391305,5.015525576304348,6.447799254173914,864.0,1524933.0,0.05665822695161033
2006,Belarus,6.31695652173913,3.0,5.626290249739131,2.8260869565217392,5.798792576347826,3.072013702304348,7.138418044173914,4.9096249299130434,6.44138521652174,591.5675675675676,1521714.0,0.03887508214865393
2007,Belarus,6.308260869565218,3.0,5.616256956565217,3.043478260869565,5.752190995913043,2.891772845173913,7.142150143956522,4.803724283521738,6.434971178869565,2659.0,1518188.0,0.17514299941772693
2008,Belarus,6.299565217391304,3.0,5.6062236633913045,3.260869565217391,5.705589415478261,2.711531988043478,7.145882243739131,4.697823637130435,6.428557141217392,2658.0,1514338.0,0.1755222414018535
2009,Belarus,6.290869565217392,3.0,5.596190370217391,3.4782608695652173,5.658987835043479,2.5312911309130435,7.14961434352174,4.59192299073913,6.422143103565218,2743.0,1507662.0,0.18193733078103713
2010,Belarus,6.282173913043478,3.0,5.586157077043478,3.6956521739130435,5.612386254608696,2.351050273782609,7.153346443304349,4.486022344347826,6.415729065913044,2459.0,1483086.0,0.16580292713976127
2011,Belarus,6.273478260869566,3.0,5.576123783869565,3.9130434782608696,5.565784674173913,2.170809416652174,7.157078543086957,4.380121697956522,6.4093150282608695,2172.0,1470135.0,0.14774153394076053
2012,Belarus,6.264782608695652,3.0,5.566090490695652,4.130434782608695,5.51918309373913,1.9905685595217388,7.160810642869566,4.274221051565217,6.402900990608696,822.0,1455258.0,0.05648482949415155
2013,Belarus,6.25608695652174,3.0,5.5560571975217385,4.3478260869565215,5.472581513304348,1.8103277023913042,7.164542742652174,4.168320405173914,6.396486952956522,1902.0,1438609.0,0.13221104553078702
2014,Belarus,6.247391304347826,3.0,5.546023904347826,4.565217391304348,5.4259799328695655,1.6300868452608697,7.1682748424347835,4.0624197587826085,6.390072915304348,1741.0,1421531.0,0.12247358657672608
